DS-POP-1	QUANTITY: nobody	WIRING-UNRESOLVED		season,settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: a few souls	WIRING-UNRESOLVED		season,settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: a dozen or so	WIRING-UNRESOLVED					SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: dozens	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: a hundred or so	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: several hundred	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: many hundreds	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	QUANTITY: thousands	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	HERALD KIND: hungry_gap	WIRING-UNRESOLVED		season,settlement			SOURCE-UNRESOLVED
DS-POP-1	HERALD KIND: migration_flight	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	RECEIPT: births exceed deaths	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	RECEIPT: births and deaths in balance	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	RECEIPT: deficit01 positive	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	CANDIDATE KIND: growth	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	CANDIDATE KIND: emigration	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	CANDIDATE KIND: decline	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-1	BELIEVED TREND diverges from the ring	WIRING-UNRESOLVED		counterpart,settlement			SOURCE-UNRESOLVED
DS-POP-2	BAND −2: has been emptying	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	BAND −1: has been thinning	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	BAND 0: has held level	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	BAND +1: has been growing	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	BAND +2: has been swelling	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	WINDOW under two readings	WIRING-UNRESOLVED		settlement			SOURCE-UNRESOLVED
DS-POP-2	NET MAGNITUDE, banded	WIRING-UNRESOLVED					SOURCE-UNRESOLVED
